"combo_id","seed","design_group","run_started","run_finished","total_time","lac_0","mu_0","gam_0","laa_0","K_0","K_1","mu_1","laa_1","lambda0","fixed_qgain","fixed_qloss","fixed_transprob","fixed_alpha","cap_max_events","cap_max_matrix_cells","cap_max_species_per_guild","cap_max_runtime_s","completed","stop_reason","simulated_time","elapsed_s","n_events","max_richness_p","max_richness_a","max_rows_Mt","max_cols_Mt","max_matrix_cells_observed","events_immigration_plant","events_extinction_plant","events_cladogenesis_plant","events_anagenesis_plant","events_immigration_animal","events_extinction_animal","events_cladogenesis_animal","events_anagenesis_animal","events_cospeciation","events_link_gain","events_link_loss","hazard_immigration_plant","hazard_extinction_plant","hazard_cladogenesis_plant","hazard_anagenesis_plant","hazard_immigration_animal","hazard_extinction_animal","hazard_cladogenesis_animal","hazard_anagenesis_animal","hazard_cospeciation","hazard_link_gain","hazard_link_loss","mu1d_all_weight","mu1d_all_mean","mu1d_all_sd","mu1d_all_min","mu1d_all_max","mu1d_all_frac_inactive","mu1d_all_frac_informative","mu1d_all_frac_strong","mu1d_plant_weight","mu1d_plant_mean","mu1d_plant_sd","mu1d_plant_min","mu1d_plant_max","mu1d_plant_frac_inactive","mu1d_plant_frac_informative","mu1d_plant_frac_strong","mu1d_animal_weight","mu1d_animal_mean","mu1d_animal_sd","mu1d_animal_min","mu1d_animal_max","mu1d_animal_frac_inactive","mu1d_animal_frac_informative","mu1d_animal_frac_strong","laa1D_all_weight","laa1D_all_mean","laa1D_all_sd","laa1D_all_min","laa1D_all_max","laa1D_all_frac_inactive","laa1D_all_frac_informative","laa1D_all_frac_strong","laa1D_over_laa0_all_weight","laa1D_over_laa0_all_mean","laa1D_over_laa0_all_sd","laa1D_over_laa0_all_min","laa1D_over_laa0_all_max","laa1D_over_laa0_all_frac_inactive","laa1D_over_laa0_all_frac_informative","laa1D_over_laa0_all_frac_strong","K1d_over_K0_all_weight","K1d_over_K0_all_mean","K1d_over_K0_all_sd","K1d_over_K0_all_min","K1d_over_K0_all_max","K1d_over_K0_all_frac_inactive","K1d_over_K0_all_frac_informative","K1d_over_K0_all_frac_strong","error_message","island_p","island_a","island_endemic_p","island_nonendemic_p","island_endemic_a","island_nonendemic_a","connectance","disconnect_p","disconnect_a","largest_component","n_components","plant_degree","animal_degree","nonend_nltt_p","singleton_nltt_p","multi_nltt_p","nonend_nltt_a","singleton_nltt_a","multi_nltt_a","final_degree_median","final_degree_p90","final_degree_p99","final_degree_max","final_D_median","final_D_p90","final_D_max","final_D_nonzero_fraction","result_file_bytes"
1,1014729,"broad_lhs","2026-07-23 17:19:54.559816","2026-07-23 17:19:55.516621",10,0.296217408962066,0.655755296206209,0.0209087667423838,1.12248616182063,126.078478967926,55.6109144153778,0.0133003115893031,0.073015720458546,0.461796997444471,0.001,0.001,1,100,20000,4e+06,1500,180,TRUE,"completed",10,0.954,165,3,16,141,659,92919,7,5,1,4,57,53,9,29,0,0,0,13.2454983955608,4.19602644476189,0.905954063891148,1.53325710510983,55.6826939182115,45.0809471124329,8.76308013287269,27.3798862143476,0.3084326499027,0.0606318360086798,0.36848289833979,75.187022038364,0.000558122567898721,0.00282614920010259,0,0.0266006231786062,1,0,0,6.4195790660053,0.00326840540331736,0.00656058941402596,0,0.0266006231786062,1,0,0,68.7674429723587,0.000305112215889551,0.00199122928783923,0,0.0133003115893031,1,0,0,25.7581289666515,0,0,0,0,1,0,0,25.7581289666515,0,0,0,0,1,0,0,75.187022038364,0.0185091657194299,0.0937243302837115,0,0.882163472633978,0.960511228795036,0.0394887712049634,0,,3,13,3,0,6,7,0.0512820512820513,2,11,3,14,0.666666666666667,0.153846153846154,0,2.19547234543465,2.09838574810439,2.75995622730678,10.3245267606104,2.77822930411378,0,1.03333333333334,2,2,0,0,0,0,1628
11,2062019,"broad_lhs","2026-07-23 17:20:04.512639","2026-07-23 17:20:05.537435",10,1.13146100701529,0.0257713537836388,0.00948681852615409,2.47136730652496,127.304514630523,7.15634002966283,0.14242817176894,0.241562029202469,0.565452249770751,0.001,0.001,1,100,20000,4e+06,1500,180,TRUE,"completed",10,1.021,153,7,96,148,802,118696,3,1,5,3,22,11,85,20,0,2,1,5.9907595067254,0.360778703192226,7.16760638469665,1.42990591785362,16.9518144436339,10.8877597698354,87.225970568202,20.6206813054801,0.0625836861252753,1.25942260143713,1.68774241010184,437.054037198295,0.00146734600704415,0.0173961550890198,0,0.28485634353788,0.992058603467831,0.00794139653216886,0,14.2893533122622,0.0224401161595996,0.0640205476657352,0,0.28485634353788,0.877102980290959,0.122897019709041,0,422.764683886033,0.000758470989641988,0.0126076375514522,0,0.28485634353788,0.995944078242371,0.00405592175762876,0,8.92242410309275,0,0,0,0,1,0,0,8.92242410309275,0,0,0,0,1,0,0,437.054037198295,0.000579140313893295,0.00686601160900439,0,0.112428691950678,0.997639038586968,0.00236096141303184,0,,7,96,7,0,96,0,0.00148809523809524,6,95,2,102,0.142857142857143,0.0104166666666667,0,5.36039374039057,8.39231648529603,0,23.5435704030376,378.080736590521,0,0,1,1,,,,,1672
71,8345759,"no_mutualism","2026-07-23 17:17:33.614537","2026-07-23 17:17:35.443671",10,0.0525209489589143,0.106577449559412,0.103267126777502,1.24780478641859,102.246505703661,0,0,0,0,0.001,0.001,1,100,20000,4e+06,1500,180,TRUE,"completed",10,1.824,375,28,63,177,712,126024,42,16,3,36,113,53,0,100,0,12,0,43.3992106712935,17.3169345707077,2.51753256923585,29.2244365395575,107.767481284693,48.1411177239246,3.4645119647646,101.746462622676,0,8.26105873549664,3.96987379471787,614.18294925647,0,0,0,0,1,0,0,162.482163368474,0,0,0,0,1,0,0,451.700785887995,0,0,0,0,1,0,0,104.961048865778,0,0,0,0,1,0,0,104.961048865778,0,0,0,0,1,0,0,614.18294925647,0,0,0,0,1,0,0,,28,57,26,2,49,8,0.0269423558897243,6,30,16,47,1.53571428571429,0.754385964912281,1.03857374176024,96.0986127115544,22.8962098823232,11.1111332039638,218.589296684425,11.2686467508606,1,3,5,5,0,0,0,0,1520
315,33899635,"broad_lhs","2026-07-23 17:22:08.435176","2026-07-23 17:23:08.438864",10,0.966005830223702,0.0214874758033762,0.229539588208253,0.729584561442668,98.128094292899,89.7836589603352,0.146560794412236,0.193227201627128,0.196573846131796,0.001,0.001,1,100,20000,4e+06,1500,60,FALSE,"max_runtime_s",3.98666588227269,60.001,1672,424,912,891,2154,1919214,63,1,367,22,193,1,732,78,0,167,48,66.4745150929099,1.60521411374665,352.38981594033,28.4949347319283,197.604007991547,4.42409556701789,673.816107282003,79.8052897101872,0.761977703944744,181.524738343878,60.4362905612911,1306.2938621282,4.30362038549869,4.74742551222634,0,37.3730025751202,0.0723520017946546,0.433654969859491,0.493993028345853,422.551154279133,6.6522039255785,6.69559784853733,0,37.3730025751202,0.0548700831490031,0.317492094824913,0.627637822026081,883.74270784907,3.1806728613295,2.82499124571942,0,20.8116328065375,0.0807107750406743,0.489196878714063,0.430092346245263,148.166100112375,0.0013533815819235,0.016114542938057,0,0.193227201627128,0.99299590549091,0.00700409450909056,0,148.166100112375,0.0018550030434407,0.0220872860935988,0,0.264845518722386,0.99299590549091,0.00700409450909056,0,1306.2938621282,26.8670560446498,29.6376854553833,0,233.31578178363,0.0723520017946546,0.0983999930326632,0.829248005172681,,424,912,418,6,876,36,0.0972618752068851,3,13,1320,17,88.7028301886792,41.2390350877193,,,,,,,44,121,250,255,0,0,0,0,1764
