"simulation_id","simulation_key","simulation_seed","design_seed","design_group","anchor_set_id","data_partition","primary_eligible","censored_failure","success_status","run_started","run_finished","runtime_seconds","total_time","warnings","error_message","completed","stop_reason","simulated_time","lac_0","mu_0","gam_0","laa_0","K_0","K_1","mu_1","laa_1","lambda0","island_endemic_p","island_nonendemic_p","island_endemic_a","island_nonendemic_a","connectance","disconnect_p","disconnect_a","largest_component","n_components","plant_degree","animal_degree","nonend_nltt_p","singleton_nltt_p","multi_nltt_p","nonend_nltt_a","singleton_nltt_a","multi_nltt_a","island_p","island_a","final_degree_median","final_degree_p90","final_degree_p99","final_degree_max"
741,"sim_0741",78404189,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:18.086704 +0200","2026-08-05 02:24:19.799845 +0200",1.713,10,,,TRUE,"completed",10,0.346895864189248,0.0335393404007177,0.0162589044100598,0.238598299950106,62.6900931093842,35.7911858533435,0.0888180074621894,0.136376869393086,0.623760870770762,4,1,8,5,0.0461538461538462,4,10,4,15,0.6,0.230769230769231,6.33276324784516,10.2985297877838,8.89248927094,13.8029187274469,11.493646847434,22.2503916912872,5,13,0,1,3,3
742,"sim_0742",78508918,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:16.657879 +0200","2026-08-05 02:24:19.169574 +0200",2.512,10,,,TRUE,"completed",10,0.307483405535821,0.089429051554197,0.0248663114516685,0.419452223644507,72.9694471525649,1.01853211639215,0.0264939275185188,0.197553363482067,0.744086837125192,12,0,23,3,0.00961538461538462,9,23,2,35,0.25,0.115384615384615,0,18.9723470627687,35.1834580463059,8.1126316990118,110.740568755227,22.148169721754,12,26,0,1,1,1
743,"sim_0743",78613647,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:17.068139 +0200","2026-08-05 02:24:23.092311 +0200",6.024,10,,,TRUE,"completed",10,0.199364699496129,0.037090860035998,0.185939383798395,0.0924968439636068,112.603948553817,0.709348918403488,0.0874757567552993,0.0200584101284363,1.14441867345928,69,13,77,21,0.226854156296665,8,15,148,26,22.2317073170732,18.6020408163265,67.1025480776791,58.0350479138091,388.538501362095,175.945508943142,186.552028831498,395.937422273731,82,98,26,39.6333333333333,44.8633333333333,49
744,"sim_0744",78718376,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:19.212318 +0200","2026-08-05 02:24:30.563272 +0200",11.35,10,,,TRUE,"completed",10,0.130915689905425,0.0332572069698766,0.153630089699242,0.638423958533735,117.39786779955,8.56723040712495,0.0462777742534673,0.243576646436122,1.26322927256851,122,3,152,9,0.189813664596273,3,6,277,10,30.56,23.7267080745342,6.09490262748621,105.820505546883,611.072263404232,13.0691714274434,326.69053158554,580.885635145566,125,161,29,47.0333333333334,60,63
745,"sim_0745",78823105,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:19.385412 +0200","2026-08-05 02:24:21.314882 +0200",1.929,10,,,TRUE,"completed",10,0.0589601859864345,0.388941344031845,0.0122671558006857,0.425003712634428,73.2199379421978,28.3209020893669,0.0714519812901179,0.178085252803414,0.967107936531714,1,0,0,1,,1,1,1,2,0,0,0,0.7046083608291,0,4.18746456019356,0,0,1,1,0,0,0,0
746,"sim_0746",78927834,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:17.700959 +0200","2026-08-05 02:24:20.519726 +0200",2.819,10,,,TRUE,"completed",10,0.26528431724398,0.405110620846148,0.18550055745829,0.598792993198871,46.4919246035732,6.33710317331105,0.0490436535625591,0.239008281638445,0.202609665332037,4,4,9,8,0.0735294117647059,3,10,6,16,1.25,0.588235294117647,1.34674629799045,12.5565672059149,4.83967667906267,5.52968674054567,17.9427759363561,1.66101952433881,8,17,1.77635683940025e-15,2,4,4
747,"sim_0747",79032563,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:17.699631 +0200","2026-08-05 02:24:19.233388 +0200",1.534,10,,,TRUE,"completed",10,0.481084008304349,0.0304397463265992,0.0423326225186695,0.0522641533453802,55.3067094250065,0.618041996115123,0.0974212863039222,0.0468991664040368,1.31653601185404,8,3,11,12,0.0632411067193676,5,14,9,23,1.45454545454545,0.695652173913043,17.3317042801165,19.6684782560854,21.5182915491627,68.9436276711047,6.55413056548239,61.0124349107367,11,23,0,3.23333333333333,5,5
748,"sim_0748",79137292,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:20.565795 +0200","2026-08-05 02:24:22.629484 +0200",2.064,10,,,TRUE,"completed",10,0.731350360546933,0.394248221122984,0.016870766128038,0.486362224932669,69.0585928787995,19.015826228388,0.125215621267012,0.0232371594926937,0.202331118615961,0,0,5,1,,,6,,,,0,0,0,0,1.29551424876522,19.7504838415286,4.79546390453533,0,6,0,0,0,0
749,"sim_0749",79242021,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:21.402765 +0200","2026-08-05 02:24:23.900659 +0200",2.497,10,,,TRUE,"completed",10,0.0471546381835064,0.289813491086554,0.195640475309555,0.0478765465057304,48.8361783302907,0.512597889017093,0.00502355811653836,0.175872088321808,1.37469862046656,2,8,4,10,0.0428571428571429,5,10,5,18,0.6,0.428571428571429,14.9951809385181,0,5.09345312026147,26.9829469997745,4.97469347427165,6.3592345224504,10,14,0,2,2,2
750,"sim_0750",79346750,20260730,"broad_lhs",,"continuous_lhs",TRUE,FALSE,"completed","2026-08-05 02:24:24.525081 +0200","2026-08-05 02:27:03.089423 +0200",158.564,10,,,TRUE,"completed",10,0.446013245968019,0.156927096689887,0.042011854700093,0.277983474579978,114.747361003359,9.24092594224524,0.00516300941759911,0.0699033653985114,0.775839245034705,467,2,465,1,0.730780493607987,1,3,931,5,340.543710021322,342.736051502146,0.718929129639169,9.14211229552556,1071.02860278996,6.75956194122487,99.9340805494488,1124.52666709581,469,466,396,432.133333333333,446,448
