"parameter","pilot_lower","pilot_upper","final_lower","final_upper","transformation","exact_zero_in_anchors","description","sampling_type","integer_sampled","part_I_primary_response_scale","part_II_model_input_scale","part_II_display_scale","part_II_normalized_design_scale","anchor_note"
"lac_0",0.03,1.2,0.04,0.8,"log",FALSE,"intrinsic cladogenesis rate","continuous_log_uniform_LHS",FALSE,"log_parameter","log_parameter","original_parameter_scale","unit_LHS_scale","Background parameter remains positive in all designs."
"mu_0",0.02,0.8,0.03,0.6,"log",FALSE,"intrinsic extinction rate","continuous_log_uniform_LHS",FALSE,"log_parameter","log_parameter","original_parameter_scale","unit_LHS_scale","Background parameter remains positive in all designs."
"gam_0",0.005,0.3,0.01,0.2,"log",FALSE,"intrinsic immigration rate","continuous_log_uniform_LHS",FALSE,"log_parameter","log_parameter","original_parameter_scale","unit_LHS_scale","Background parameter remains positive in all designs."
"laa_0",0.03,2.5,0.03,0.8,"log",FALSE,"intrinsic anagenesis rate","continuous_log_uniform_LHS",FALSE,"log_parameter","log_parameter","original_parameter_scale","unit_LHS_scale","Background parameter remains positive in all designs."
"K_0",15,140,40,120,"linear",FALSE,"intrinsic carrying capacity","continuous_linear_uniform_LHS",FALSE,"raw_parameter","raw_parameter","original_parameter_scale","unit_LHS_scale","Background parameter remains positive in all designs."
"K_1",0,90,0.25,40,"log",TRUE,"mutualism-related carrying capacity","continuous_log_uniform_LHS",FALSE,"log_parameter","log_parameter","original_parameter_scale","unit_LHS_scale","Exact zero occurs only in structural anchors; do not log or pool anchors with the positive LHS regression design."
"mu_1",0,0.15,0.005,0.15,"log",TRUE,"mutualism-related extinction","continuous_log_uniform_LHS",FALSE,"log_parameter","log_parameter","original_parameter_scale","unit_LHS_scale","Exact zero occurs only in structural anchors; do not log or pool anchors with the positive LHS regression design."
"laa_1",0,0.25,0,0.25,"linear",TRUE,"mutualism-related anagenesis","continuous_linear_uniform_LHS",FALSE,"raw_parameter","raw_parameter","original_parameter_scale","unit_LHS_scale","Exact zero occurs only in structural anchors; do not log or pool anchors with the positive LHS regression design."
"lambda0",0,1.5,0.05,1.5,"log",TRUE,"intrinsic cospeciation rate","continuous_log_uniform_LHS",FALSE,"log_parameter","log_parameter","original_parameter_scale","unit_LHS_scale","Exact zero occurs only in structural anchors; do not log or pool anchors with the positive LHS regression design."
